car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine_cc,Seats,company_name,car_prices_in_rupee
426,86226,1,1,1,2017,1956,5,12,100300
509,13248,4,0,1,2021,1330,5,26,128300
290,60343,4,0,1,2016,2494,5,29,164000
912,26696,4,0,1,2018,1199,5,8,77700
1095,69414,4,1,1,2016,1199,5,30,51500
1528,49719,4,0,1,2017,1197,5,30,76600
1529,43688,4,0,1,2017,1197,5,30,75800
1635,14470,1,1,1,2021,1498,5,8,116000
383,21429,4,0,1,2015,1497,5,8,69900
504,31750,4,0,1,2017,1498,5,26,75300
198,38203,4,1,1,2017,1197,5,18,64300
383,110284,4,0,1,2014,1497,5,8,54300
1721,10381,4,1,1,2020,1197,5,17,86200
410,32378,4,0,1,2019,1368,5,12,167800
367,38906,4,1,1,2020,1498,5,8,100300
752,59313,4,0,2,2016,1197,5,9,56300
1840,85672,1,1,1,2017,1396,5,9,66700
321,34971,4,1,2,2017,1373,5,18,67300
1008,35894,4,1,2,2015,1198,5,23,32100
328,56000,4,0,1,2019,1462,5,18,85000
1411,56568,4,1,1,2014,1197,5,18,43400
947,48872,4,1,1,2017,799,5,26,31100
946,17346,4,1,1,2019,799,5,26,37000
423,15414,1,1,1,2019,1956,5,12,158800
746,21239,4,1,1,2018,1197,5,9,54100
94,62361,4,1,1,2014,998,5,18,22300
1587,79329,4,1,2,2015,1591,5,9,58800
1516,11945,4,0,1,2021,1999,5,9,227800
1412,51324,4,1,1,2018,1197,5,18,61200
987,5717,4,1,1,2021,999,5,23,74400
384,46417,4,0,1,2016,1497,5,8,83900
133,100161,4,1,1,2015,1198,5,8,42000
770,35424,4,1,1,2016,1197,5,9,49100
531,51085,4,1,1,2017,814,5,9,29300
85,30983,4,1,1,2016,796,5,18,29800
945,32681,4,1,1,2016,799,5,26,26000
537,57581,4,1,2,2014,814,5,9,23800
900,39821,4,0,1,2016,1199,5,8,60500
85,21186,4,1,1,2018,796,5,18,32300
945,34972,4,1,1,2018,799,5,26,32600
133,46623,4,1,2,2015,1198,5,8,42100
1327,18557,4,1,1,2019,1353,5,13,155300
415,58463,1,1,1,2017,1956,5,12,124300
797,5000,4,0,1,2020,1451,6,16,185000
782,66000,1,1,1,2019,1956,5,28,159000
504,14000,4,0,1,2019,1498,5,26,89000
12,61000,1,0,1,2019,1995,5,1,430000
1847,65392,1,1,1,2017,1396,5,9,60000
281,37000,4,0,1,2018,1991,5,20,270000
1719,9000,4,1,1,2020,1462,6,18,109000
751,32000,4,0,1,2017,1197,5,9,59000
1749,68000,1,1,1,2012,2179,7,17,65000
1874,13000,4,1,1,2017,1197,5,9,67500
1178,30000,4,0,1,2020,999,5,4,37000
259,34300,4,0,1,2015,1198,5,8,52500
383,45000,4,0,1,2015,1497,5,8,72500
444,37000,4,1,1,2014,1798,5,29,85000
413,50000,4,1,1,2018,1368,5,12,140000
1705,105241,1,0,1,2015,1985,5,31,150000
